timestamp,pH,bod,cod,tds,color_admi,turbidity_ntu,temperature_c,flow_lpm,is_event,risk_label
2026-07-14 15:46:24.732085,6.62,20.7,133.2,1432.5,197.2,25.1,33.2,128.7,False,Safe
2026-07-14 15:46:54.732085,7.5,16.8,200.0,1457.5,202.9,18.5,34.6,121.7,False,Safe
2026-07-14 15:47:24.732085,7.18,23.3,145.5,1373.2,173.2,18.4,32.1,116.4,False,Safe
2026-07-14 15:47:54.732085,7.0,14.4,173.6,1375.0,156.6,31.1,30.9,133.4,False,Safe
2026-07-14 15:48:24.732085,7.1,11.9,196.9,1546.0,193.0,30.1,33.4,117.7,False,Safe
2026-07-14 15:48:54.732085,7.54,11.0,154.7,1532.8,147.3,38.0,31.5,122.1,False,Safe
2026-07-14 15:49:24.732085,7.43,20.5,194.8,1232.6,193.7,25.8,33.6,146.6,False,Safe
2026-07-14 15:49:54.732085,7.13,15.3,143.2,1566.6,181.0,21.2,34.2,130.7,False,Safe
2026-07-14 15:50:24.732085,6.78,17.2,185.9,1568.2,115.7,29.5,29.8,117.0,False,Safe
2026-07-14 15:50:54.732085,6.79,21.6,161.8,1610.0,158.6,42.8,31.3,118.0,False,Safe
2026-07-14 15:51:24.732085,7.44,18.8,153.3,1420.9,234.5,27.4,31.0,122.5,False,Safe
2026-07-14 15:51:54.732085,6.74,13.5,180.0,1204.2,196.6,22.2,32.2,117.9,False,Safe
2026-07-14 15:52:24.732085,7.14,23.4,154.0,1762.8,161.5,30.0,32.2,80.0,False,Safe
2026-07-14 15:52:54.732085,8.13,16.6,141.8,1433.2,178.6,31.0,27.1,133.4,False,Safe
2026-07-14 15:53:24.732085,7.36,17.4,118.2,1027.2,232.9,33.1,32.0,126.2,False,Safe
2026-07-14 15:53:54.732085,7.45,15.1,502.2,1547.5,197.8,25.0,29.2,115.1,True,Needs Treatment
2026-07-14 15:54:24.732085,6.82,13.7,508.1,1626.1,204.0,23.5,35.3,142.7,True,Needs Treatment
2026-07-14 15:54:54.732085,6.76,18.3,590.3,1349.9,186.9,13.9,32.9,123.0,True,Needs Treatment
2026-07-14 15:55:24.732085,7.47,12.3,493.1,1584.6,159.8,19.8,31.4,121.3,True,Needs Treatment
2026-07-14 15:55:54.732085,7.09,17.1,403.0,1525.2,244.5,26.0,32.4,97.6,True,Needs Treatment
2026-07-14 15:56:24.732085,7.6,22.9,470.1,1492.7,163.3,32.6,34.0,129.2,True,Needs Treatment
2026-07-14 15:56:54.732085,7.23,20.0,451.6,1405.6,195.7,23.7,33.6,114.4,True,Needs Treatment
2026-07-14 15:57:24.732085,8.44,18.1,545.3,1759.3,148.1,24.6,26.6,114.2,True,Needs Treatment
2026-07-14 15:57:54.732085,7.03,13.6,550.5,1475.4,196.7,21.0,33.9,115.7,True,Needs Treatment
2026-07-14 15:58:24.732085,7.33,17.1,639.5,1640.0,142.1,30.6,31.2,129.2,True,Needs Treatment
2026-07-14 15:58:54.732085,6.91,14.5,457.6,1414.7,166.1,30.5,32.7,143.0,True,Needs Treatment
2026-07-14 15:59:24.732085,7.59,22.3,192.8,1660.1,184.4,19.5,31.3,130.0,False,Safe
2026-07-14 15:59:54.732085,7.39,15.6,200.5,1534.4,190.5,23.8,34.8,136.1,False,Safe
2026-07-14 16:00:24.732085,6.9,41.2,182.8,1766.6,156.1,21.7,36.8,105.9,True,Needs Treatment
2026-07-14 16:00:54.732085,7.13,46.9,151.5,1412.2,146.0,28.8,31.3,142.9,True,Needs Treatment
2026-07-14 16:01:24.732085,7.74,41.3,154.0,1578.1,206.1,29.7,32.1,130.1,True,Needs Treatment
2026-07-14 16:01:54.732085,7.7,51.6,183.9,1428.2,194.0,17.6,32.3,118.4,True,Needs Treatment
2026-07-14 16:02:24.732085,6.76,23.6,179.0,1296.3,221.4,21.9,29.8,126.6,False,Safe
2026-07-14 16:02:54.732085,7.08,17.2,133.2,1381.4,212.4,35.2,35.3,112.5,False,Safe
2026-07-14 16:03:24.732085,7.89,13.9,136.9,1408.4,134.0,25.0,33.5,133.0,False,Safe
2026-07-14 16:03:54.732085,7.2,16.6,176.3,1758.5,168.0,24.6,32.7,125.9,False,Safe
2026-07-14 16:04:24.732085,7.32,12.7,106.7,1463.3,132.0,33.2,33.0,122.9,False,Safe
2026-07-14 16:04:54.732085,7.61,27.2,167.9,1445.6,139.5,34.0,29.1,124.1,False,Safe
2026-07-14 16:05:24.732085,6.78,23.4,148.5,1648.3,108.5,21.1,34.2,161.2,False,Safe
2026-07-14 16:05:54.732085,6.92,21.4,141.0,1818.1,210.1,29.9,35.3,137.9,False,Safe
2026-07-14 16:06:24.732085,7.14,19.7,150.6,1651.7,208.7,24.6,29.7,122.3,False,Safe
2026-07-14 16:06:54.732085,7.68,16.5,168.9,1708.3,194.1,25.9,32.0,115.7,False,Safe
2026-07-14 16:07:24.732085,7.61,16.5,163.8,1372.6,210.1,20.3,34.2,127.7,False,Safe
2026-07-14 16:07:54.732085,7.51,16.3,132.9,1519.2,133.4,33.6,30.4,114.6,False,Safe
2026-07-14 16:08:24.732085,7.21,25.3,119.5,1141.1,244.5,27.2,33.8,100.7,False,Safe
2026-07-14 16:08:54.732085,7.66,16.3,168.2,1742.7,186.2,35.0,32.2,116.7,False,Safe
2026-07-14 16:09:24.732085,7.22,15.1,175.8,1554.1,140.1,17.3,32.0,124.3,False,Safe
2026-07-14 16:09:54.732085,7.48,16.6,182.3,1618.7,136.0,22.3,33.7,123.3,False,Safe
2026-07-14 16:10:24.732085,7.6,18.7,121.8,1770.0,201.4,19.9,31.5,109.9,False,Safe
2026-07-14 16:10:54.732085,7.87,4.8,169.5,1387.6,150.2,22.8,32.8,108.5,False,Safe
2026-07-14 16:11:24.732085,7.26,18.3,177.0,1499.0,133.9,23.7,33.2,115.7,False,Safe
2026-07-14 16:11:54.732085,7.16,8.2,148.4,1411.5,153.6,29.8,32.3,120.6,False,Safe
2026-07-14 16:12:24.732085,7.73,22.2,151.5,1638.2,158.2,23.5,35.7,101.8,False,Safe
2026-07-14 16:12:54.732085,7.75,10.9,149.3,1624.2,185.9,19.6,32.0,180.7,False,Safe
2026-07-14 16:13:24.732085,7.08,14.2,145.9,1596.5,190.6,27.9,29.8,140.1,False,Safe
2026-07-14 16:13:54.732085,6.87,10.3,191.9,1506.6,181.0,24.4,31.2,123.6,False,Safe
2026-07-14 16:14:24.732085,7.68,23.3,146.0,1565.8,209.2,34.4,32.7,122.3,False,Safe
2026-07-14 16:14:54.732085,6.7,17.0,141.8,1389.1,152.0,22.8,31.8,103.0,False,Safe
2026-07-14 16:15:24.732085,6.67,24.8,106.1,1612.4,155.6,36.1,34.6,108.9,False,Safe
2026-07-14 16:15:54.732085,7.18,23.8,178.0,1658.2,165.8,34.1,31.8,132.8,False,Safe
2026-07-14 16:16:24.732085,7.26,21.3,141.0,1426.0,177.6,19.3,30.0,129.8,False,Safe
2026-07-14 16:16:54.732085,6.85,12.0,141.0,1295.4,212.3,19.4,27.5,129.8,False,Safe
2026-07-14 16:17:24.732085,7.3,17.5,200.9,1735.9,186.7,32.7,32.0,126.3,False,Safe
2026-07-14 16:17:54.732085,7.32,21.8,132.7,1727.6,129.9,26.1,31.7,119.4,False,Safe
2026-07-14 16:18:24.732085,7.07,18.4,125.7,1553.1,117.7,37.0,32.7,149.8,False,Safe
2026-07-14 16:18:54.732085,7.95,15.7,126.2,1561.7,230.1,19.3,33.7,101.0,False,Safe
2026-07-14 16:19:24.732085,7.39,18.3,125.8,1354.0,166.4,32.1,33.0,117.8,False,Safe
2026-07-14 16:19:54.732085,7.63,18.6,144.1,1542.3,207.9,23.7,25.4,143.3,False,Safe
2026-07-14 16:20:24.732085,6.73,11.8,159.6,1405.6,159.0,25.6,31.5,118.4,False,Safe
2026-07-14 16:20:54.732085,6.73,15.1,154.2,1358.4,105.4,41.1,33.0,135.0,False,Safe
2026-07-14 16:21:24.732085,7.39,19.3,184.9,1597.8,169.7,30.4,31.7,125.5,False,Safe
2026-07-14 16:21:54.732085,7.87,20.0,173.6,1782.3,191.2,29.5,34.4,126.7,False,Safe
2026-07-14 16:22:24.732085,6.85,17.8,168.5,1518.6,192.2,28.8,31.6,133.2,False,Safe
2026-07-14 16:22:54.732085,7.26,15.5,172.4,1330.5,127.6,26.3,33.4,155.5,False,Safe
2026-07-14 16:23:24.732085,6.78,16.4,179.0,1451.7,138.6,27.5,30.5,140.2,False,Safe
2026-07-14 16:23:54.732085,6.97,14.5,160.4,1608.4,197.3,15.3,32.9,130.6,False,Safe
2026-07-14 16:24:24.732085,7.28,16.7,204.8,1815.1,197.7,28.5,30.3,132.0,False,Safe
2026-07-14 16:24:54.732085,7.05,20.1,147.4,1163.3,144.4,28.7,28.8,113.8,False,Safe
2026-07-14 16:25:24.732085,6.77,25.6,148.8,1437.9,179.8,38.3,35.2,100.0,False,Safe
2026-07-14 16:25:54.732085,6.76,12.8,142.3,1463.4,126.6,28.7,29.1,105.0,False,Safe
2026-07-14 16:26:24.732085,6.57,21.4,143.4,1385.3,181.7,25.8,32.9,102.2,False,Safe
2026-07-14 16:26:54.732085,7.39,18.3,133.5,1539.5,148.1,30.6,31.0,103.7,False,Safe
2026-07-14 16:27:24.732085,7.42,11.3,134.4,1359.6,206.8,34.0,33.8,129.6,False,Safe
2026-07-14 16:27:54.732085,7.42,16.4,159.4,1516.6,179.1,23.9,31.5,93.1,False,Safe
2026-07-14 16:28:24.732085,6.88,16.2,159.3,1236.9,156.0,22.0,30.9,126.1,False,Safe
2026-07-14 16:28:54.732085,7.56,16.9,151.9,1580.0,124.1,28.0,33.8,127.1,False,Safe
2026-07-14 16:29:24.732085,7.45,20.6,143.5,1566.8,222.4,23.8,31.1,122.2,False,Safe
2026-07-14 16:29:54.732085,7.2,23.8,197.2,1684.4,177.3,28.4,33.0,114.8,False,Safe
2026-07-14 16:30:24.732085,7.15,21.4,202.9,1538.3,202.7,21.2,36.4,124.1,False,Safe
2026-07-14 16:30:54.732085,6.98,17.6,182.7,1409.9,178.7,28.1,31.3,128.6,False,Safe
2026-07-14 16:31:24.732085,7.28,18.0,172.5,1409.8,174.7,28.4,25.1,91.1,False,Safe
2026-07-14 16:31:54.732085,7.78,24.1,202.8,1608.1,116.3,22.6,35.2,149.3,False,Safe
2026-07-14 16:32:24.732085,7.61,13.1,172.3,1596.7,116.3,22.6,30.4,106.9,False,Safe
2026-07-14 16:32:54.732085,7.12,21.1,130.6,1406.7,186.9,23.3,33.1,106.8,False,Safe
2026-07-14 16:33:24.732085,7.38,12.8,140.4,1132.6,146.9,17.5,30.6,133.4,False,Safe
2026-07-14 16:33:54.732085,6.79,11.5,167.3,1568.6,183.9,20.0,32.3,120.6,False,Safe
2026-07-14 16:34:24.732085,7.42,19.0,181.4,1370.3,163.8,32.5,34.4,108.4,False,Safe
2026-07-14 16:34:54.732085,6.86,11.0,198.4,1398.1,252.3,25.1,32.3,141.0,False,Safe
2026-07-14 16:35:24.732085,7.4,15.4,198.0,1703.7,174.7,24.2,29.0,119.4,False,Safe
